#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
15,traitor,Olivia Rodrigo,92,pop,Pop,SOUR,2021-05-21,3:49,38,34,69,0,8,3,12,-8,101,D#/E♭ Major,5B,4,2022-02-11,5CZ40GBx1sQ9agT82CLQCT
16,Two Ghosts,Harry Styles,75,pop,Pop,Harry Styles,2017-05-12,3:49,39,41,23,0,46,3,10,-7,69,F#/G♭ Minor,11A,4,2022-02-11,4B1rpPmQXwj78wk6aIGwwU
17,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,91,pop,Pop,Red (Taylor's Version),2021-11-12,10:13,63,52,27,0,21,3,9,-9,93,C Major,8B,4,2022-02-11,5enxwA8aAbwZbf5qCHORXi
18,Smokin Out The Window,"Bruno Mars,Anderson .Paak,Silk Sonic",74,"dance pop, pop, escape room,",Pop,An Evening With Silk Sonic,2021-11-12,3:17,63,62,6,0,85,4,35,-9,82,D Major,10B,4,2022-02-11,6M4jdLdM7wLGungMV9gsCS
19,Wrecked,Imagine Dragons,80,"modern rock, rock",Rock,Wrecked,2021-07-02,4:04,63,56,15,0,23,3,11,-6,94,C Minor,5A,4,2022-02-11,2d1MywHy6FwKdzxFuSJnwl
20,THATS WHAT I WANT,Lil Nas X,94,"lgbtq+ hip hop, pop","Hip Hop, Pop",MONTERO,2021-09-17,2:23,74,85,1,0,55,22,5,-5,88,C♯/D♭ Minor,12A,4,2022-02-11,0e8nrvls4Qqv5Rfa2UhqmO
21,Points of Authority,Linkin Park,69,"alternative metal, nu metal, post-grunge, rap metal",Metal,Hybrid Theory (Bonus Edition),2000-10-24,3:20,51,97,3,0,43,21,10,-4,95,G#/A♭ Minor,1A,4,2022-02-11,5egqKwgK5r5rvGD1LrtR7J
22,God is a woman,Ariana Grande,81,"dance pop, pop",Pop,Sweetener,2018-08-17,3:17,60,66,2,0,27,6,24,-6,145,C♯/D♭ Major,3B,4,2022-02-11,5OCJzvD7sykQEKHH7qAC3C
23,Always Been You,Shawn Mendes,60,"canadian pop, dance pop, pop, viral pop",Pop,Wonder,2020-12-04,2:47,37,39,23,0,31,4,8,-7,125,D#/E♭ Major,5B,4,2022-02-11,56KDoLjFIm7Yc7fX1XgpNw
24,Abrázame Muy Fuerte,Juan Gabriel,75,"cancion melodica, latin, latin pop, mariachi, ranchera, regional mexican",Latin,Abrázame Muy Fuerte,2000-12-12,3:59,52,39,69,0,31,6,13,-7,136,E Minor,9A,4,2022-02-11,2nejvFyJeTDtMRP2nUMt0J
